Dirigente;Sindicato;Funcao;ExpSet;FxKSoc;NivK;FatMEmp;TamMEmp;CidAt;NEmp;Form
EAA;SIAPAR;Adm;;;;;;;;N/A
ARGJ;SIAPAR;SP;N-ExpSet;0 a 99k;;até 240k;1-19 func;Mun;2 a 5;Cin
RRMM;SIAPAR;SP;ExpSet;0 a 99k;;até 2,4M;20-99 func;PR;2 a 5;EngComp
SO;SIAPAR;SP;N-ExpSet;100 a 999k;;até 240k;1-19 func;Mun;2 a 5;N.D.
JL;SIAPAR;SP;N-ExpSet;100 a 999k;;até 2,4M;20-99 func;Mun;1;Com
SP;SICEPOT;SP;ExpSet;0 a 99k;;2,4 a 10M;100-199 func;Mun;2 a 5;EngCiv
JAPR;SICEPOT;SP;N-ExpSet;0 a 99k;;até 240k;1-19 func;Mun;2 a 5;EngCiv
JJA;SICEPOT;SP;ExpSet;1 a 9,99M;;até 240k;1-19 func;BR;>10;EngCiv
FCBG;SICEPOT;SP;N-ExpSet;1 a 9,99M;;até 2,4M;20-99 func;Mun;1;EngCiv
JAGG;SICEPOT;SP;ExpSet;+ de 10M;;10 a 50M;>200 func;BR;>10;EngCiv
ECJ;SICEPOT;SP;ExpSet;+ de 10M;;>50M;>200 func;Reg;>10;EngCiv
CAL;SIGEP;SP;N-ExpSet;0 a 99k;;até 240k;1-19 func;Mun;1;N/A
EB;SIGEP;SP;ExpSet;0 a 99k;;10 a 50M;>200 func;PR;2 a 5;N/A
RAF;SIGEP;SP;N-ExpSet;0 a 99k;;até 240k;1-19 func;Mun;1;N/A
LSS;SIGEP;SP;N-ExpSet;0 a 99k;;até 2,4M;1-19 func;Mun;1;N/A
AOS;SIGEP;SP;N-ExpSet;0 a 99k;;até 2,4M;1-19 func;Mun;1;N/A
MDN;SIGEP;SP;N-ExpSet;100 a 999k;;até 240k;1-19 func;Mun;1;N/A
EFF;SIGEP;SP;N-ExpSet;100 a 999k;;10 a 50M;100-199 func;Mun;2 a 5;N/A
JMPC;SIITEP;SP;N-ExpSet;0 a 99k;;até 240k;1-19 func;Mun;2 a 5;Adm
BHAG;SIITEP;SP;ExpSet;100 a 999k;;até 2,4M;20-99 func;Mun;2 a 5;Econ
JCMP;SIITEP;Adm+SP;ExpSet;100 a 999k;;até 2,4M;20-99 func;Mun;2 a 5;Adm
RIFL;SIITEP;SP;N-ExpSet;1 a 9,99M;;10 a 50M;100-199 func;Sul;2 a 5;N/A
HB;SIITEP;SP;ExpSet;+ de 10M;;>50M;>200 func;BR;>10;EngElet
JVC;SIMADEIRA;SP;ExpSet;1 a 9,99M;;2,4 a 10M;100-199 func;BR;6 a 10;N/A
AJDP;SIMADEIRA;SP;ExpSet;100 a 999k;;até 240k;1-19 func;BR;2 a 5;Adm
DAGS;SIMADEIRA;SP;ExpSet;+ de 10M;;10 a 50M;>200 func;BR;>10;Econ
RRN;SIMADEIRA;SP;ExpSet;+ de 10M;;>50M;>200 func;BR;6 a 10;EngCiv
