Dir;Sind;Assoc;nLig;AmbMAssoc
JAPR;SICEPOT;ANEOR, IEP, CBIC, BRASINFRA e APEOP;5;Nacional
MDN;SIGEP;ABIGRAF-PR, ABIEA;2;Nacional
BHAG;SIITEP;FIEP;1;Estadual
EAM;SIMOV;ABIMAD;1;Nacional
AVD;SIMOV;ACSC;1;Municipal
ADJ;SINAEES;ABINEE;1;Nacional
Rba;SINCABIMA;FIEP, ASLORE e Abicab;3;Nacional
SLAB;SINDEMON;AECIC;1;Municipal
DF;SINDEMON;ABTCP;1;Nacional
JJS;SINDEMON;FIEP;1;Estadual
AST;SINDIADUBOS;ANDA;1;Nacional
RMS;SINDIBEBIDAS;ABIR e ABOL;2;Nacional
ELJF;SINDICAF;SINDUSCON;1;Estadual
PS;SINDICARNE;FIEP, ABRAFRIGO e IBRAFE;4;Nacional
EJZ;SINDICARNE;ACIME e CACIOPAR;2;Regional
FB;SINDILEITE;Conseleite;1;Estadual
WT;SINDILEITE;OCEPAR, OCB e Conseleite;3;Nacional
WB;SINDIREPA;FIEP, SENAI e SESI;3;Estadual
SC;SINDIREPA;SESI;1;Estadual
VAM;SINDITEXTIL;Imbitumalhas;1;Municipal
MS;SINDITEXTIL;FIEP;1;Estadual
FWS;SINPACEL;ABRE e ABTCP;2;Nacional
VFB;SIPCEP;FIEP;1;Estadual
FBJ;SINDIOLEOS;FIEP e ABRANGE;2;Nacional
SP;SICEPOT;BRASINFRA;1;Nacional
JJA;SICEPOT;APEOP;1;Estadual
FCBG;SICEPOT;FIEP;1;Estadual
JAGG;SICEPOT;APEOP;1;Estadual
ECJ;SICEPOT;APEOP;1;Estadual
RM;SIMADEIRA;ACP e SINCAM;2;Estadual
RRN;SIMADEIRA;SINCAM;1;Estadual
ASA;SIMOV;FIEP e ABIMOVEL;2;Nacional
DAG;SIMPEP;FIEP, ABIPLAST e ABIEF;3;Nacional
CG;SINDEMCAP;FIEP;1;Estadual
PAF;SINDIADUBOS;SIACESP;1;Estadual
Rbi;SINDIALFA;FIEP;1;Estadual
DW;SINDICER;FIEP;1;Estadual
JCOJ;SINDICOSMETICOS;ACP;1;Estadual
EK;SINDIREPA;FIEP, Sincopecas e SEBRAE;3;Estadual
LBF;SINDIVEST;FIEP e SENAI;2;Estadual
MIM;SINQFAR;FIEP;1;Estadual
MADM;SINDUSCON;SESI;1;Estadual
NBRN;SINDUSCON;ADEMI;1;Estadual
JCP;SINDUSCON;ADEMI;1;Estadual
LHB;SINDEMCAP;SINDICAL, ABRACAL e APDC;3;Nacional
GZ;SINDIBEBIDAS;Vinopar;1;Estadual
MP;SINDICAL;APDC;1;Estadual
GC;SINDICAL;APDC;1;Estadual
ASN;SINDICARNE;FIEP;1;Estadual
JC;SINDILOUÇAS;FECOMERCIO-PR, Sindiarmazens, SINDIMETAL, Itaqui Associacao, SINAEES, FIEP;8;Estadual
EATB;SINDILOUÇAS;ABCERAM e FIEP;2;Nacional
ER;SINDILOUÇAS;Itaqui e ACICLA;2;Municipal
AAT;SINDIMETAL;FIEP;1;Estadual
EB;SIGEP;ABIGRAF-PR e ABIGRAF-BR;2;Nacional
AOS;SIGEP;ABIGRAF-BR e FIEP;2;Nacional
AJDP;SIMADEIRA;SINCAM, FECOMERCIO-PR, SENAC e SESC;4;Estadual
LC;SIMADEIRA;SINCAM;1;Estadual
EAAZ;SIMPEP;FIEP, ACIC e SINDIMETAL-OESTE;3;Estadual
VMF;SINAEES;ACP, FIEP, FACIAP e SESI;4;Estadual
RZ;SINCABIMA;ACIME e CACIOPAR;2;Regional
DM;SINDIAVIPAR;UBABEF;1;Nacional
EJV;SINDICAF;ACIC, SINDUSCON-Oeste, SESI, FACIAP, FIEP;6;Estadual
VV;SINDILEITE;OCEPAR e Sincoopar-Oeste;2;Estadual
Rbe;SINDILEITE;Conseleite, OCEPAR, Sincoopar-Norte e G100;3;Estadual
DK;SINDITRIGO;Abitrigo;1;Nacional
ANA;SINDIVEST;FIEP, ACP, FACIAP, CACB e SEBRAE;5;Nacional
RLB;SINELTEPAR;FIEP;1;Estadual
MGS;SINQFAR;ACIPG;1;Municipal
RRMM;SIAPAR;FIEP;1;Estadual
HB;SIITEP;FIEP, ABEPREST, FEBRATEL, ACP e SESI;5;Nacional
DAGS;SIMADEIRA;ABIMCI e ANPM;1;Nacional
SCZ;SIMADEIRA;SINCAM e FECOMERCIO-PR;2;Estadual
JGGA;SIMAGRAN;ABIROCHAS, FIEP, SESI e SEBRAE;4;Nacional
MPS;SIMOV;ABIMOVEL e FIEP;2;Nacional
JCG;SINDIADUBOS;FIEP e AMA;2;Nacional
AEF;SINDIADUBOS;SIACESP, ANDA e AMA;3;Nacional
GFP;SINDICAF;ABCIC, FIEP;2;Nacional
MMB;SINDICAL;APDC;1;Estadual
WWL;SINDICOURO;FIEP;1;Estadual
MAGS;SINDILEITE;FIEP e Conseleite;2;Estadual
NRH;SINDIMETAL;FIEP, AECIC, SENAI, ABIFA;4;Nacional
