"","Sindicato","Agric","Extr","Transf","EletrGas","AgEsgoto","Constr","Comerc","Transp","Alim","InfoCom","Finan","Imoveis","AtivProf","AtivAdm","AdmPub","Educ","SaudeSS","Entret","OutrServ","ServDom","OrgInt","NivKSind"
"ARGJr","SIAPAR","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","C"
"JusLoc","SIAPAR","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","C"
"RRMM","SIAPAR","n","n","n","n","n","n","n","n","n","y","n","n","y","n","n","n","n","n","n","n","n","C"
"SiOg","SIAPAR","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","C"
"EnCuJ","SICEPOT","n","y","n","n","n","y","y","n","n","n","y","y","n","n","n","n","n","n","n","n","n","B"
"FCBG","SICEPOT","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"JefJAnd","SICEPOT","n","y","y","n","n","y","n","y","n","n","y","n","n","n","n","n","y","n","n","n","n","B"
"JoAlbPR","SICEPOT","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","B"
"SergPic","SICEPOT","n","n","n","n","n","y","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"AOS","SIGEP","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"CALis","SIGEP","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"EdBen","SIGEP","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","D"
"EFFar","SIGEP","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","D"
"LdSSz","SIGEP","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"MDbN","SIGEP","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","D"
"RAFur","SIGEP","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"BHAG","SIITEP","n","n","n","n","n","y","n","n","n","n","n","n","y","y","n","n","n","n","y","n","n","B"
"JCMPcg","SIITEP","n","n","n","n","n","y","y","n","n","n","y","n","y","n","n","n","n","n","n","n","n","B"
"JMPC","SIITEP","n","n","n","n","n","y","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"RnhImFL","SIITEP","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","B"
"AngJDP","SIMADEIRA","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","A"
"JoVaC","SIMADEIRA","y","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","A"
"RomRyN","SIMADEIRA","y","n","y","n","n","n","y","y","n","n","y","n","n","n","n","n","n","n","n","n","n","A"
"ABRiv","SIMAGRAN","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"AdVard","SIMAGRAN","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","D"
"IDCamp","SIMAGRAN","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"JGGA","SIMAGRAN","n","n","y","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","D"
"RMJes","SIMAGRAN","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"AlVlDk","SIMOV","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"AuStAn","SIMOV","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"EArmM","SIMOV","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","D"
"HJDias","SIMOV","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","D"
"MAPf","SIMOV","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"MPSch","SIMOV","n","n","y","n","n","n","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","D"
"DAGll","SIMPEP","n","n","y","n","n","n","y","y","n","n","n","n","y","n","n","n","n","n","n","n","n","B"
"EAAZ","SIMPEP","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","B"
"JryDg","SIMPEP","n","n","y","n","n","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","B"
"MarcPrev","SIMPEP","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"RolRos","SIMPEP","n","n","y","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","B"
"ThHof","SIMPEP","n","n","n","n","y","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","B"
"AlvDJr","SINAEES","n","n","n","n","n","n","y","n","n","n","n","y","y","y","n","n","n","n","y","n","n","B"
"HelUch","SINAEES","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"IdelIank","SINAEES","n","n","n","n","n","n","n","n","n","n","y","y","n","y","n","n","n","n","n","n","n","B"
"IdCBM","SINCABIMA","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","A"
"RBa","SINCABIMA","n","n","y","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","y","n","n","A"
"RHuZan","SINCABIMA","n","n","y","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","A"
"SbAS","SINCABIMA","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","A"
"ArnPZn","SINDBOR","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"LCJr","SINDBOR","n","n","y","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"VAtz","SINDBOR","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"DMoc","SINDEMCAP","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"JPlCv","SINDEMCAP","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"LHBuz","SINDEMCAP","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"DF","SINDEMON","y","n","n","n","n","y","y","n","n","n","y","n","n","y","n","n","n","y","y","n","n","B"
"JJS","SINDEMON","n","n","y","n","n","y","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","B"
"SLAB","SINDEMON","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"ASchTx","SINDIADUBOS","n","n","y","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","A"
"CRdC","SINDIADUBOS","n","n","y","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","A"
"JsCGod","SINDIADUBOS","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","A"
"RBi","SINDIALFA","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","D"
"RoPel","SINDIAVIPAR","y","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","A"
"FTV","SINDIBEBIDAS","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"GCZ","SINDIBEBIDAS","y","n","y","n","n","n","y","y","n","n","y","n","n","y","n","n","n","n","y","n","n","B"
"RMS","SINDIBEBIDAS","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","B"
"ElLopFerJ","SINDICAF","n","n","y","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"GFiPhi","SINDICAF","n","n","y","n","n","n","n","n","n","n","y","y","y","n","n","n","n","n","n","n","n","B"
"GilCav","SINDICAL","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","B"
"MMayB","SINDICAL","y","y","y","n","n","n","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","B"
"ASN","SINDICARNE","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"JT","SINDICARNE","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"PPS","SINDICARNE","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","B"
"UCB","SINDICARNE","n","n","y","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","y","n","n","B"
"AFOrs","SINDICER","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"DWos","SINDICER","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"GRak","SINDICER","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"JDNic","SINDICER","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"LARk","SINDICER","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"ABlkSch","SINDICOSMETICOS","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"AFr","SINDICOSMETICOS","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","C"
"IlNC","SINDICOSMETICOS","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"JCOJ","SINDICOSMETICOS","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","C"
"JPdASv","SINDICOSMETICOS","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"JPZan","SINDICOURO","n","n","y","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","C"
"LCZan","SINDICOURO","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","C"
"RERu","SINDICOURO","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"WWLu","SINDICOURO","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","C"
"FBer","SINDILEITE","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","B"
"RJBe","SINDILEITE","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","n","B"
"WTh","SINDILEITE","n","n","n","n","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","B"
"AJuGir","SINDILOUCAS","n","n","y","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
