"","Agric","Extr","Transf","Constr","Comerc","Serv","Sindicato","NivKSind"
"ARGJr","n","n","n","n","n","y","SIAPAR","C"
"JusLoc","n","n","n","n","n","y","SIAPAR","C"
"RRMM","n","n","n","n","n","y","SIAPAR","C"
"SiOg","n","n","n","n","n","y","SIAPAR","C"
"EnCuJ","n","y","n","y","y","y","SICEPOT","B"
"FCBG","n","n","n","y","n","n","SICEPOT","B"
"JefJAnd","n","y","y","y","n","y","SICEPOT","B"
"JoAlbPR","n","n","n","y","n","y","SICEPOT","B"
"SergPic","n","n","n","y","n","y","SICEPOT","B"
"AOS","n","n","y","n","n","n","SIGEP","D"
"CALis","n","n","y","n","n","n","SIGEP","D"
"EdBen","n","n","n","n","n","y","SIGEP","D"
"EFFar","n","n","y","n","n","y","SIGEP","D"
"LdSSz","n","n","y","n","n","n","SIGEP","D"
"MDbN","n","n","y","n","n","y","SIGEP","D"
"RAFur","n","n","y","n","n","n","SIGEP","D"
"BHAG","n","n","n","y","n","y","SIITEP","B"
"JCMPcg","n","n","n","y","y","y","SIITEP","B"
"JMPC","n","n","n","y","n","y","SIITEP","B"
"RnhImFL","n","n","n","y","n","y","SIITEP","B"
"AngJDP","y","n","n","n","n","n","SIMADEIRA","A"
"JoVaC","y","n","y","n","n","y","SIMADEIRA","A"
"RomRyN","y","n","y","n","y","y","SIMADEIRA","A"
"ABRiv","n","n","n","n","y","y","SIMAGRAN","D"
"AdVard","n","n","y","n","y","y","SIMAGRAN","D"
"IDCamp","n","n","y","n","y","n","SIMAGRAN","D"
"JGGA","n","n","y","n","y","y","SIMAGRAN","D"
"RMJes","n","n","n","n","y","n","SIMAGRAN","D"
"AlVlDk","n","n","y","n","n","n","SIMOV","D"
"AuStAn","n","n","y","n","n","n","SIMOV","D"
"EArmM","n","n","y","n","n","y","SIMOV","D"
"HJDias","n","n","n","n","y","y","SIMOV","D"
"MAPf","n","n","y","n","n","n","SIMOV","D"
"MPSch","n","n","y","n","y","y","SIMOV","D"
"DAGll","n","n","y","n","y","y","SIMPEP","B"
"EAAZ","n","n","y","n","y","y","SIMPEP","B"
"JryDg","n","n","y","y","n","y","SIMPEP","B"
"MarcPrev","n","n","y","n","n","n","SIMPEP","B"
"RolRos","n","n","y","n","n","y","SIMPEP","B"
"ThHof","n","n","n","n","n","y","SIMPEP","B"
"AlvDJr","n","n","n","n","y","y","SINAEES","B"
"HelUch","n","n","y","n","y","n","SINAEES","B"
"IdelIank","n","n","n","n","n","y","SINAEES","B"
"IdCBM","n","n","n","n","y","n","SINCABIMA","A"
"RBa","n","n","y","n","y","y","SINCABIMA","A"
"RHuZan","n","n","y","n","y","y","SINCABIMA","A"
"SbAS","n","n","y","n","n","n","SINCABIMA","A"
"ArnPZn","n","n","y","n","n","n","SINDBOR","C"
"LCJr","n","n","y","n","y","y","SINDBOR","C"
"VAtz","n","n","y","n","y","n","SINDBOR","C"
"DMoc","n","y","n","n","n","n","SINDEMCAP","C"
"JPlCv","n","y","y","n","n","n","SINDEMCAP","C"
"LHBuz","n","n","n","n","n","y","SINDEMCAP","C"
"DF","y","n","n","y","y","y","SINDEMON","B"
"JJS","n","n","y","y","y","y","SINDEMON","B"
"SLAB","n","n","y","y","n","n","SINDEMON","B"
"ASchTx","n","n","y","n","y","y","SINDIADUBOS","A"
"CRdC","n","n","y","n","y","y","SINDIADUBOS","A"
"JsCGod","n","n","y","n","n","y","SINDIADUBOS","A"
"RBi","n","n","n","n","n","y","SINDIALFA","D"
"RoPel","y","n","n","n","n","y","SINDIAVIPAR","A"
"FTV","n","n","y","n","n","n","SINDIBEBIDAS","B"
"GCZ","y","n","y","n","y","y","SINDIBEBIDAS","B"
"RMS","n","n","n","n","n","y","SINDIBEBIDAS","B"
"ElLopFerJ","n","n","y","y","y","n","SINDICAF","B"
"GFiPhi","n","n","y","n","n","y","SINDICAF","B"
"GilCav","n","n","y","n","n","y","SINDICAL","B"
"MMayB","y","y","y","n","y","y","SINDICAL","B"
"ASN","n","n","y","n","n","n","SINDICARNE","B"
"JT","n","n","y","n","n","n","SINDICARNE","B"
"PPS","n","n","n","n","n","y","SINDICARNE","B"
"UCB","n","n","y","n","y","y","SINDICARNE","B"
"AFOrs","n","n","y","n","n","n","SINDICER","D"
"DWos","n","n","y","n","n","n","SINDICER","D"
"GRak","n","n","y","n","n","n","SINDICER","D"
"JDNic","n","n","y","n","n","n","SINDICER","D"
"LARk","n","n","y","y","n","n","SINDICER","D"
"ABlkSch","n","n","y","n","n","n","SINDICOSMETICOS","C"
"AFr","n","n","n","n","n","y","SINDICOSMETICOS","C"
"IlNC","n","n","y","n","n","n","SINDICOSMETICOS","C"
"JCOJ","n","n","y","n","n","y","SINDICOSMETICOS","C"
"JPdASv","n","n","y","n","y","n","SINDICOSMETICOS","C"
"JPZan","n","n","y","n","y","y","SINDICOURO","C"
"LCZan","n","n","n","n","n","y","SINDICOURO","C"
"RERu","y","n","y","n","y","n","SINDICOURO","C"
"WWLu","n","n","y","n","n","n","SINDICOURO","C"
"FBer","n","n","n","n","y","y","SINDILEITE","B"
"RJBe","n","n","n","n","n","y","SINDILEITE","B"
"WTh","n","n","n","n","y","y","SINDILEITE","B"
"AJuGir","n","n","y","y","y","n","SINDILOUCAS","D"
"DCABN","n","n","y","n","n","y","SINDILOUCAS","D"
"EATBg","n","y","y","n","n","n","SINDILOUCAS","D"
"IvCNb","n","n","y","n","n","n","SINDILOUCAS","D"
"JCan","n","n","y","n","n","n","SINDILOUCAS","D"
"AATgr","n","n","y","n","n","n","SINDIMETAL","A"
"AdBffC","n","n","y","n","n","y","SINDIMETAL","A"
"CarBnck","n","n","y","n","n","n","SINDIMETAL","A"
"DanJoB","n","n","y","y","n","y","SINDIMETAL","A"
"GuiLars","n","n","y","n","n","n","SINDIMETAL","A"
"JLRch","n","n","y","y","n","n","SINDIMETAL","A"
"FBJ","n","n","y","y","y","y","SINDIOLEOS","A"
"CEF","n","n","y","n","n","n","SINDIPINTURAS","D"
"EJJ","n","n","n","y","n","n","SINDIPINTURAS","D"
"EvKost","n","n","n","n","y","y","SINDIREPA","D"
"RCrJr","n","n","n","n","y","n","SINDIREPA","D"
"SCrp","n","n","n","n","y","n","SINDIREPA","D"
"SLMud","n","n","n","n","n","y","SINDIREPA","D"
"WBill","n","n","n","n","y","n","SINDIREPA","D"
"BMM","n","n","y","n","n","n","SINDITEXTIL","D"
"MSur","n","n","y","n","n","n","SINDITEXTIL","D"
"VAM","n","n","y","n","n","y","SINDITEXTIL","D"
"DAK","n","n","n","n","n","y","SINDITRIGO","A"
"PBVC","y","n","y","n","y","y","SINDITRIGO","A"
"DFtG","n","n","y","n","n","n","SINDIVEST","C"
"LBFr","n","n","y","y","y","y","SINDIVEST","C"
"RdCGrf","n","n","n","n","y","y","SINDIVEST","C"
"AlvFC","n","n","n","y","n","y","SINDUSCON","B"
"CAuEC","n","n","n","y","n","n","SINDUSCON","B"
"JCPer","n","n","n","y","n","n","SINDUSCON","B"
"MADM","n","n","n","y","n","y","SINDUSCON","B"
"NewBorRN","n","n","n","y","n","n","SINDUSCON","B"
"SLCre","n","n","n","y","n","y","SINDUSCON","B"
"TiCoGue","n","n","n","y","n","y","SINDUSCON","B"
"AFRch","n","n","n","y","n","n","SINELTEPAR","C"
"ARFrst","n","n","n","y","n","y","SINELTEPAR","C"
"EdNHus","n","n","y","y","n","n","SINELTEPAR","C"
"PABJr","n","n","n","y","n","n","SINELTEPAR","C"
"RLBnt","n","n","n","y","n","y","SINELTEPAR","C"
"CR","n","n","n","y","n","n","SINPACEL","A"
"DLei","n","n","y","n","y","y","SINPACEL","A"
"FWS","n","n","y","n","n","y","SINPACEL","A"
"JENar","y","n","y","y","n","n","SINPACEL","A"
"RGBd","n","n","n","n","n","y","SINPACEL","A"
"JaJoG","n","n","y","n","y","y","SINQFAR","A"
"MIMlk","n","n","y","n","n","y","SINQFAR","A"
"SMBCan","n","n","y","n","y","y","SINQFAR","A"
"DANF","n","n","n","n","y","n","SIPCEP","D"
"RFGK","n","n","y","n","n","n","SIPCEP","D"
"SRLS","n","n","y","n","n","n","SIPCEP","D"
"VFB","n","n","y","n","n","y","SIPCEP","D"
"JAGG","y","n","y","y","n","y","SICEPOT","B"
"HB","y","n","n","n","y","y","SIITEP","B"
"VMF","n","n","n","y","y","y","SINAEES","B"
"LCF","n","n","y","y","y","y","SINDIOLEOS","A"
"NRH","n","n","y","n","y","y","SINDIMETAL","A"
"CG","n","y","n","y","y","y","SINDEMCAP","C"
"EJZ","y","n","y","n","y","y","SINDICARNE","B"
"AEF","y","n","y","n","y","y","SINDIADUBOS","A"
"EMPk","n","n","y","n","y","y","SINDIADUBOS","A"
"PAF","n","n","y","n","y","y","SINDIADUBOS","A"
"RVG","n","n","y","n","n","y","SINDIADUBOS","A"
"EdJoVa","n","n","y","y","n","y","SINDICAF","B"
"MAGS","y","n","y","n","y","y","SINDILEITE","B"
"VV","y","n","y","n","y","y","SINDILEITE","B"
"ANA","n","n","y","n","y","y","SINDIVEST","C"
"ArCn","y","n","y","n","y","y","SINPACEL","A"
"ERdPR","n","n","y","n","y","y","SINQFAR","A"
"DoAnGrS","y","n","y","y","y","y","SIMADEIRA","A"
"GilMuBrn","y","n","y","n","y","y","SIMADEIRA","A"
"SCZ","n","n","y","y","y","y","SIMADEIRA","A"
"MGS","n","n","n","n","n","n","SINQFAR","A"
"DoMrt","y","n","y","y","y","y","SINDIAVIPAR","A"
"PCdA","y","n","y","n","y","y","SINDITRIGO","A"
"GeLuCa","n","n","n","n","y","n","SINDITEXTIL","D"
"MPoli","n","y","n","n","n","n","SINDICAL","B"
"MaAvzB","n","n","n","y","n","n","SINDUSCON","B"
"CdOJr","n","n","n","n","y","n","SINDIAVIPAR","A"
"RMar","n","n","n","y","y","n","SINDIPINTURAS","D"
"ER","n","n","y","n","n","y","SINDILOUCAS","D"
"LC","y","n","y","n","n","n","SIMADEIRA","A"
"RicMue","y","n","y","n","y","y","SIMADEIRA","A"
