"","Row.names","Func","NivKpos","NivK","nLig","IndFIEP","RelFIEP","DivEcon","nTransf","TxNeg","AntRT","Per","Abrang","Aum"
"1","SIAPAR",0.725878685966994,-0.575954638565081,"C",1,0,"Int",-0.709110951630046,0.392549162034325,NA,NA,NA,NA,NA
"2","SICEPOT",-0.299481714944474,0.224908354052634,"B",10,0.9,"Dup",-0.508125871566813,1.8041992661383,"Não",NA,NA,NA,NA
"3","SIGEP",-0.210235255260291,-0.798752396005216,"D",6,0.83,"Dup",-0.650387868724753,-1.19073587376582,"Sim","Sim",NA,NA,"Não"
"4","SIITEP",-0.288897485438266,0.0416357014146293,"B",6,0.5,"Dup",-0.15426166835043,1.77607999576222,"Sim","Sim","Anual",NA,"Sim"
"5","SIMADEIRA",-0.349984391534897,1.27365113217316,"A",12,1,"Ext",1.80910528937596,-0.12069343904865,"Não",NA,NA,NA,NA
"6","SIMAGRAN",-0.251761325409803,-0.58540838301865,"D",4,0.25,"Dup",0.0324750065311977,-0.817278923141738,NA,NA,NA,NA,NA
"7","SIMOV",-0.148560857426415,-0.875691184416242,"D",5,0.8,"Dup",-0.38778861655634,-1.10171181158488,NA,NA,NA,NA,NA
"8","SIMPEP",-0.342147830171879,0.449887763693839,"B",6,0.5,"Dup",0.0018566873718293,0.482705215255976,"Não",NA,NA,NA,NA
"9","SINAEES",0.70669370501152,0.414245226695567,"B",5,0.6,"Dup",-0.0291228171724646,0.960207726540007,"Não",NA,NA,NA,NA
"10","SINCABIMA",-0.312390675067247,0.611956958570062,"A",5,0.8,"Dup",0.788021662264487,-0.554094689048401,"Não",NA,NA,NA,NA
"11","SINDBOR",0.317380020256012,-0.00306749607319171,"C",1,0,"Int",-0.190526616882713,-0.627571416809181,"Sim","Sim","Anual",1,"Não"
"12","SINDEMCAP",-0.0231790674720313,-0.280151122416308,"C",4,0.5,"Dup",-1.11964425372536,0.645485478269475,"Sim","Sim","Anual",NA,"Não"
"13","SINDEMON",-0.160129415740998,0.121143149786574,"B",3,0.67,"Dup",0.229175369408099,1.34694671216665,NA,NA,NA,NA,NA
"14","SINDIADUBOS",-0.330126831449641,1.37716090527079,"A",6,0.84,"Dup",1.31529854162256,-0.421787604284411,"Sim","Sim","Anual",2,"Sim"
"15","SINDIALFA",0.148899289917286,-1.24566714509997,"D",1,0,"Int",-0.696735979390633,-0.262132059673459,NA,NA,NA,NA,NA
"16","SINDIAVIPAR",0.947214131104252,0.602767573971813,"A",1,1,"Ext",1.30292644802929,0.252098222417829,"Não",NA,NA,NA,NA
"17","SINDIBEBIDAS",-0.281165975652823,0.451328743274531,"B",3,1,"Ext",0.247645745724423,0.419635369977721,"Não",NA,NA,NA,NA
"18","SINDICAF",0.901377511335783,0.260344814555475,"B",8,0.38,"Dup",-0.146125183101147,0.718382156220161,"Sim","Sim","Anual",NA,"Sim"
